Id,Label,timeset,movie_id,Eccentricity,closnesscentrality,betweenesscentrality,Degree,componentnumber,modularity_class
1505749,COLIN,,250,2,1.52,453.070635,24,0,0
1506076,BILLY,,250,3,1.54,451.040873,27,0,2
1505620,COSTELLO,,250,3,1.58,367.965079,22,0,3
1506430,ELLERBY,,250,3,2.02,111.379365,10,0,1
1506177,QUEENAN,,250,3,1.82,64.449603,12,0,1
1505875,FRENCH,,250,3,1.98,58.85,6,0,2
1512371,DETECTIVE 1,,250,3,2.44,49,3,0,0
1505663,YOUNG COSTELLO,,250,3,2.2,49,5,0,3
1507333,MISTER FRENCH,,250,4,2.08,27.598016,10,0,2
1506182,DIGNAM,,250,3,1.9,23.713492,8,0,1
1509233,FITZY,,250,3,1.96,21.941667,7,0,2
1506065,BROWN,,250,3,2.06,15.311905,6,0,0
1505676,PROPRIETOR,,250,3,2,8.95,5,0,3
1506280,SGT DIGNAM,,250,3,2.06,6.636905,6,0,1
1505971,BARRIGAN,,250,3,2.16,6.5,4,0,0
1507063,LAZIO,,250,3,2.3,3.69246,6,0,1
1508191,GWEN,,250,3,2.02,2.15,5,0,3
1507159,SEAN,,250,4,2.42,1.75,4,0,2
1512596,ASAP,,250,4,2.4,0,2,0,2
1510928,BANKROBBER,,250,4,2.52,0,1,0,2
1511929,BARTENDER,,250,4,2.24,0,3,0,2
1513777,BILL,,250,3,2.2,0,2,0,2
1507124,BILLY'S AUNT,,250,4,2.5,0,2,0,2
1508522,BOOKIE,,250,4,2.48,0,2,0,2
1508958,BRIAN,,250,4,2.96,0,1,0,2
1509890,CAMERA GEEK COP,,250,4,3,0,1,0,1
1510069,CHINESE GANGSTER,,250,4,2.54,0,2,0,3
1510057,CHINESE TRANSLATOR,,250,4,2.54,0,2,0,3
1511238,DELAHUNT,,250,4,2.46,0,3,0,2
1512377,DETECTIVE 2,,250,3,2.46,0,2,0,0
1512838,DETECTIVE 4,,250,4,3.42,0,1,0,0
1506783,DOME,,250,3,2.48,0,2,0,0
1506111,DRILL INSTRUCTOR,,250,4,2.52,0,1,0,2
1505615,FADE UP ON,,250,4,2.56,0,1,0,3
1511050,FBI,,250,4,2.4,0,2,0,2
1505921,INSTRUCTOR,,250,4,3.18,0,1,0,3
1508124,JIMMY,,250,4,2.56,0,1,0,3
1507559,MADOLYN,,250,3,2.04,0,4,0,3
1507474,MRS KENNEFICK,,250,3,2.48,0,2,0,0
1513299,NEWS ANCHOR,,250,4,2.46,0,3,0,2
1506949,OTHER PRISONER,,250,4,2.52,0,1,0,2
1509954,PHONE TECH COP,,250,4,2.7,0,4,0,1
1508815,PRIESTS,,250,4,2.24,0,3,0,3
1506228,QUEENAN'S SECRETARY,,250,3,2.48,0,2,0,0
1506785,REALTOR,,250,3,2.48,0,2,0,0
1508419,REPORTER,,250,4,3,0,1,0,1
1505996,SPEAKER,,250,4,2.56,0,1,0,3
1506719,UNCLE,,250,4,2.52,0,1,0,2
1512163,VOICE ON PHONE,,250,3,2.5,0,1,0,0
1505714,YOUNG COLIN,,250,3,2.22,0,4,0,3
1508834,YOUNG PRIEST,,250,4,2.24,0,3,0,3
