Source,Target,Type,Id,Label,timeset,Weight,movie_id
1505971,1505749,Undirected,0,51555,,6,250
1506076,1512596,Undirected,1,51715,,1,250
1506076,1510928,Undirected,2,51678,,1,250
1506076,1505971,Undirected,3,51773,,1,250
1506076,1511929,Undirected,4,51697,,1,250
1506076,1513777,Undirected,5,51760,,1,250
1506076,1506065,Undirected,6,51767,,2,250
1506076,1505620,Undirected,7,51616,,7,250
1506076,1506182,Undirected,8,51568,,3,250
1506076,1511050,Undirected,9,51680,,1,250
1506076,1505875,Undirected,10,51588,,1,250
1506076,1508191,Undirected,11,51733,,1,250
1506076,1507333,Undirected,12,51599,,4,250
1506076,1508815,Undirected,13,51618,,1,250
1506076,1505676,Undirected,14,51594,,1,250
1506076,1506177,Undirected,15,51561,,6,250
1506076,1506719,Undirected,16,51563,,1,250
1506076,1508834,Undirected,17,51619,,1,250
1507124,1506076,Undirected,18,51577,,2,250
1507124,1507159,Undirected,19,51579,,1,250
1508522,1506076,Undirected,20,51613,,1,250
1508958,1505875,Undirected,21,51624,,1,250
1506065,1505971,Undirected,22,51610,,3,250
1509890,1506430,Undirected,23,51650,,1,250
1510057,1510069,Undirected,24,51663,,1,250
1505749,1513777,Undirected,25,51759,,1,250
1505749,1506076,Undirected,26,51740,,4,250
1505749,1506065,Undirected,27,51608,,8,250
1505749,1505620,Undirected,28,51639,,6,250
1505749,1512371,Undirected,29,51722,,2,250
1505749,1512377,Undirected,30,51711,,1,250
1505749,1506182,Undirected,31,51700,,2,250
1505749,1506430,Undirected,32,51623,,4,250
1505749,1505875,Undirected,33,51749,,1,250
1505749,1508191,Undirected,34,51739,,1,250
1505749,1507063,Undirected,35,51576,,1,250
1505749,1506177,Undirected,36,51640,,2,250
1505749,1506228,Undirected,37,51755,,1,250
1505620,1511929,Undirected,38,51695,,1,250
1505620,1510069,Undirected,39,51662,,1,250
1505620,1510057,Undirected,40,51661,,1,250
1505620,1506182,Undirected,41,51673,,1,250
1505620,1505875,Undirected,42,51542,,2,250
1505620,1508191,Undirected,43,51602,,2,250
1505620,1508124,Undirected,44,51600,,1,250
1505620,1508815,Undirected,45,51620,,1,250
1505620,1508834,Undirected,46,51621,,1,250
1511238,1506076,Undirected,47,51708,,2,250
1512371,1512377,Undirected,48,51710,,2,250
1512371,1512838,Undirected,49,51723,,1,250
1506182,1506177,Undirected,50,51559,,5,250
1506182,1506280,Undirected,51,51558,,1,250
1506783,1505749,Undirected,52,51565,,1,250
1506783,1506785,Undirected,53,51564,,1,250
1506111,1506076,Undirected,54,51547,,1,250
1506430,1506065,Undirected,55,51649,,2,250
1506430,1505620,Undirected,56,51638,,1,250
1506430,1506182,Undirected,57,51659,,2,250
1506430,1507063,Undirected,58,51575,,2,250
1505615,1505620,Undirected,59,51529,,1,250
1509233,1506076,Undirected,60,51721,,2,250
1509233,1505749,Undirected,61,51632,,1,250
1509233,1505620,Undirected,62,51745,,1,250
1509233,1511238,Undirected,63,51725,,2,250
1509233,1507333,Undirected,64,51744,,1,250
1507063,1506182,Undirected,65,51660,,1,250
1507559,1506076,Undirected,66,51636,,5,250
1507559,1505749,Undirected,67,51634,,5,250
1507559,1505620,Undirected,68,51668,,3,250
1507559,1508191,Undirected,69,51736,,1,250
1507333,1511929,Undirected,70,51698,,1,250
1507333,1508522,Undirected,71,51611,,1,250
1507333,1505620,Undirected,72,51615,,5,250
1507333,1511238,Undirected,73,51685,,1,250
1507333,1505875,Undirected,74,51587,,1,250
1507333,1508191,Undirected,75,51603,,1,250
1507474,1505971,Undirected,76,51591,,1,250
1507474,1505749,Undirected,77,51590,,1,250
1513299,1505620,Undirected,78,51743,,1,250
1513299,1509233,Undirected,79,51741,,1,250
1513299,1507333,Undirected,80,51742,,1,250
1506949,1506076,Undirected,81,51570,,1,250
1509954,1506182,Undirected,82,51657,,1,250
1509954,1506430,Undirected,83,51655,,1,250
1509954,1507063,Undirected,84,51656,,1,250
1508815,1508834,Undirected,85,51622,,1,250
1505676,1505749,Undirected,86,51536,,1,250
1505676,1505620,Undirected,87,51535,,1,250
1505676,1505714,Undirected,88,51534,,1,250
1506177,1512596,Undirected,89,51714,,1,250
1506177,1506065,Undirected,90,51646,,1,250
1506177,1505620,Undirected,91,51671,,1,250
1506177,1506430,Undirected,92,51645,,2,250
1506177,1511050,Undirected,93,51681,,1,250
1506177,1509233,Undirected,94,51719,,1,250
1506177,1507063,Undirected,95,51653,,1,250
1506177,1509954,Undirected,96,51651,,1,250
1506228,1506065,Undirected,97,51757,,1,250
1506785,1505749,Undirected,98,51566,,1,250
1508419,1506430,Undirected,99,51607,,1,250
1507159,1506076,Undirected,100,51581,,3,250
1507159,1505875,Undirected,101,51585,,1,250
1507159,1507333,Undirected,102,51583,,1,250
1506280,1506076,Undirected,103,51556,,2,250
1506280,1505749,Undirected,104,51572,,1,250
1506280,1506430,Undirected,105,51571,,1,250
1506280,1507063,Undirected,106,51573,,1,250
1506280,1506177,Undirected,107,51562,,1,250
1505996,1505620,Undirected,108,51545,,1,250
1512163,1505749,Undirected,109,51702,,1,250
1505714,1505749,Undirected,110,51538,,1,250
1505714,1505620,Undirected,111,51537,,1,250
1505663,1505749,Undirected,112,51533,,1,250
1505663,1505620,Undirected,113,51532,,1,250
1505663,1505921,Undirected,114,51543,,1,250
1505663,1505676,Undirected,115,51530,,1,250
1505663,1505714,Undirected,116,51531,,2,250
