#Source,Target,Weight
BRETT,MARSELLUS,1
BRETT,MARVIN,1
BRETT,ROGER,1
BRETT,VINCENT,1
BUDDY,MIA,1
BUDDY,VINCENT,1
BUTCH,BRETT,1
BUTCH,CAPT KOONS,1
BUTCH,ESMARELDA,2
BUTCH,GAWKER #2,1
BUTCH,JULES,1
BUTCH,MARSELLUS,3
BUTCH,PEDESTRIAN,1
BUTCH,SPORTSCASTER #1,1
ENGLISH DAVE,BUTCH,1
FABIENNE,BRETT,1
FABIENNE,BUTCH,2
FABIENNE,JULES,1
FOURTH MAN,JULES,1
FOURTH MAN,VINCENT,1
GAWKER #2,MARSELLUS,1
HONEY BUNNY,MANAGER,1
JIMMIE,JULES,2
JODY,MIA,1
JULES,BRETT,2
JULES,HONEY BUNNY,1
JULES,MANAGER,1
JULES,MARSELLUS,2
JULES,MARVIN,2
JULES,PATRON,1
JULES,PUMPKIN,1
JULES,RAQUEL,1
JULES,ROGER,1
JULES,WINSTON,1
LANCE,JODY,3
LANCE,MIA,1
LANCE,VINCENT,4
MARSELLUS,ENGLISH DAVE,1
MARVIN,BUTCH,1
MARVIN,MARSELLUS,1
MARVIN,ROGER,1
MAYNARD,BUTCH,1
MAYNARD,THE GIMP,1
MAYNARD,ZED,1
MIA,BUTCH,1
MIA,CAPT KOONS,1
MIA,ED SULLIVAN,1
MIA,ENGLISH DAVE,1
MIA,MARSELLUS,1
MIA,MOTHER,1
MIA,WOMAN,1
MOTHER,BUTCH,1
MOTHER,CAPT KOONS,1
PATRON,HONEY BUNNY,1
PATRON,MANAGER,1
PATRON,PUMPKIN,1
PEDESTRIAN,GAWKER #2,1
PEDESTRIAN,MARSELLUS,1
PREACHER,JODY,1
PREACHER,LANCE,1
PREACHER,VINCENT,1
PUMPKIN,HONEY BUNNY,2
PUMPKIN,MANAGER,1
RAQUEL,VINCENT,1
ROGER,BUTCH,1
ROGER,MARSELLUS,1
SPORTSCASTER #1,SPORTSCASTER #2,2
THE WOLF,JIMMIE,6
THE WOLF,JULES,4
THE WOLF,VINCENT,3
VINCENT,BUTCH,3
VINCENT,CAPT KOONS,1
VINCENT,ED SULLIVAN,1
VINCENT,ENGLISH DAVE,2
VINCENT,HONEY BUNNY,1
VINCENT,JIMMIE,1
VINCENT,JODY,3
VINCENT,JULES,9
VINCENT,MANAGER,1
VINCENT,MARSELLUS,3
VINCENT,MARVIN,2
VINCENT,MIA,6
VINCENT,MOTHER,1
VINCENT,PATRON,1
VINCENT,PUMPKIN,1
VINCENT,ROGER,1
VINCENT,WOMAN,1
WAITRESS,HONEY BUNNY,1
WAITRESS,PUMPKIN,1
WINSTON,RAQUEL,1
WINSTON,VINCENT,1
WOMAN,BUTCH,1
WOMAN,CAPT KOONS,1
WOMAN,MOTHER,1
YOUNG MAN,HONEY BUNNY,1
YOUNG MAN,PUMPKIN,1
YOUNG MAN,WAITRESS,1
YOUNG MAN,YOUNG WOMAN,1
YOUNG WOMAN,HONEY BUNNY,1
YOUNG WOMAN,PUMPKIN,1
YOUNG WOMAN,WAITRESS,1
ZED,THE GIMP,1
