#Source,Target,Weight
ANOTHER,CLEMENZA,1
ANOTHER,HYMAN,1
ANTHONY,CONNIE,2
ANTHONY,MICHAEL,2
CARMELLA,SIGNORA COLOMBO,1
CICCI,QUESTADT,1
CICCI,SENATOR KANE,1
CLEMENZA,AUGUSTINO,1
CLEMENZA,FANUCCI,1
CLEMENZA,HYMAN,2
CLEMENZA,PRIEST,1
CLEMENZA,WOMAN,1
CONNIE,KAY,2
CONNIE,MERLE,2
CONNIE,MICHAEL,2
CONNIE,PENTANGELI,1
COP,RITCHIE,1
CORNGOLD,DRIVER,1
CORNGOLD,FREDO,2
CORNGOLD,MICHAEL,2
CORNGOLD,OLA,1
COURIER,OLA,1
DEANNA,ANTHONY,1
DEANNA,CONNIE,1
DEANNA,FREDO,4
DEANNA,KAY,2
DEANNA,MERLE,1
DEANNA,PENTANGELI,1
DEANNA,WAITER,1
DOCTOR,MICHAEL,1
DOCTOR,ROTH,1
DOCTOR,TERRI,1
DON CORLEONE,MICHAEL,1
DON CORLEONE,MOM,1
DON FRANCESCO,VITO,1
FANUCCI,GENCO,1
FANUCCI,SIG ABBANDANDO,1
FANUCCI,VITO,3
FANUCCI,WOMAN,1
FBI MAN,LAWYER,1
FBI MAN,REPORTER,1
FBI MAN,ROTH,1
FBI MAN #1,FBI MAN #2,2
FBI MAN #1,PENTANGELI,3
FRANCESCA,FREDO,1
FRANCESCA,NERI,1
FREDO,ANTHONY,1
FREDO,CONNIE,3
FREDO,HAGEN,1
FREDO,KAY,2
FREDO,MERLE,1
FREDO,MICHAEL,6
FREDO,NERI,1
FREDO,PENTANGELI,1
GARDNER,FRANCESCA,1
GARDNER,FREDO,1
GARDNER,MICHAEL,1
GARDNER,NERI,1
GENCO,CLEMENZA,1
GENCO,HYMAN,1
GENCO,ROBERTO,1
GENCO,SIG ABBANDANDO,1
GENCO,VITO,4
HAGEN,CONNIE,2
HAGEN,COURIER,1
HAGEN,DON CORLEONE,2
HAGEN,FBI MAN #1,2
HAGEN,FBI MAN #2,1
HAGEN,MAESTRO,1
HAGEN,MAMA,1
HAGEN,MERLE,1
HAGEN,MICHAEL,9
HAGEN,MOM,1
HAGEN,NERI,3
HAGEN,PENTANGELI,2
HAGEN,ROCCO,2
HAGEN'S SON,HAGEN,1
HAGEN'S SON,ROCCO,1
IMPRESARIO,FANUCCI,1
IMPRESARIO,GENCO,1
ITALIAN BOY,ANOTHER,1
ITALIAN BOY,CLEMENZA,1
ITALIAN BOY,HYMAN,1
KAY,ANTHONY,2
KAY,HAGEN,2
KAY,MAN,1
KAY,MICHAEL,5
KAY,MRS BARRETT,1
KAY,PHOTOGRAPHER,1
KLINGMAN,NERI,1
LEON,CORNGOLD,1
LEON,DRIVER,1
MAESTRO,MICHAEL,1
MAMA,ANTHONY,1
MAMA,CONNIE,1
MAMA,DEANNA,1
MAMA,DON CORLEONE,1
MAMA,FREDO,1
MAMA,KAY,1
MAMA,MERLE,1
MAMA,MRS BARRETT,1
MAMA,PENTANGELI,1
MAN,ANOTHER MAN,1
MAN,HAGEN,1
MAN,MICHAEL,1
MAN,ROTH,1
MERLE,ANTHONY,1
MERLE,KAY,1
MERLE,MICHAEL,1
MERLE,PENTANGELI,1
MICHAEL,ANOTHER MAN,1
MICHAEL,COHEN,1
MICHAEL,DEANNA,2
MICHAEL,FRANCESCA,1
MICHAEL,LEON,1
MICHAEL,MAMA,2
MICHAEL,ROCCO,3
MICHAEL,ROTH,3
MICHAEL,SENATOR GEARY,3
MICHAEL,SENATOR ROGERS,1
NERI,CONNIE,1
NERI,COURIER,1
NERI,MERLE,1
NERI,MICHAEL,4
OLA,FREDO,1
OLA,HAGEN,1
OLA,KAY,1
OLA,MICHAEL,1
OPERATOR,MICHAEL,1
OPERATOR,ROCCO,1
PENTANGELI,ANTHONY,1
PENTANGELI,COP,1
PENTANGELI,FBI MAN #2,2
PENTANGELI,KAY,1
PENTANGELI,MICHAEL,3
PENTANGELI,NERI,1
PENTANGELI,RITCHIE,1
PENTANGELI,WAITER,1
PENTANGELI,WIFE,1
PHOTOGRAPHER,MAMA,1
PHOTOGRAPHER,MRS BARRETT,1
PILOT,MICHAEL,1
PIT BOSS,NERI,1
PORTER,MICHAEL,1
PRIEST,ANTHONY,1
PURSER,CONNIE,1
PURSER,MERLE,1
QUESTADT,CORNGOLD,1
QUESTADT,FREDO,2
QUESTADT,MICHAEL,1
QUESTADT,SENATOR GEARY,2
REPORTER,LAWYER,1
ROBERTO,CLEMENZA,1
ROBERTO,HYMAN,1
ROCCO,DEANNA,1
ROCCO,FREDO,1
ROCCO,KAY,2
ROSATO,COP,1
ROSATO,PENTANGELI,2
ROSATO,RITCHIE,1
ROTH,ANOTHER MAN,1
ROTH,COURIER,1
ROTH,LAWYER,1
ROTH,OLA,1
ROTH,REPORTER,1
ROTH,TERRI,2
SAM ROTH,ANOTHER MAN,1
SAM ROTH,COHEN,1
SAM ROTH,MAN,1
SAM ROTH,MICHAEL,2
SAM ROTH,ROTH,1
SANDRA,FRANCESCA,1
SANDRA,FREDO,1
SANDRA,GARDNER,1
SANDRA,HAGEN,3
SANDRA,MAESTRO,1
SANDRA,MICHAEL,1
SANDRA,NERI,1
SENATOR,CICCI,1
SENATOR,QUESTADT,1
SENATOR,SENATOR KANE,1
SENATOR GEARY,CORNGOLD,1
SENATOR GEARY,FREDO,3
SENATOR GEARY,HAGEN,1
SENATOR GEARY,MAESTRO,1
SENATOR KANE,HAGEN,2
SENATOR KANE,MICHAEL,1
SENATOR KANE,PENTANGELI,1
SENATOR KANE,QUESTADT,1
SENATOR KANE,SENATOR ROGERS,1
SENATOR REAM,FREDO,1
SENATOR REAM,SENATOR GEARY,1
SENATOR ROGERS,HAGEN,1
SIG ABBANDANDO,VITO,1
SONNY,DON CORLEONE,2
SONNY,HAGEN,2
SONNY,MAMA,1
SONNY,MICHAEL,1
SONNY,MOM,1
SONNY,TESSIO,1
TERRI,MICHAEL,2
TESSIO,AUGUSTINO,1
TESSIO,CLEMENZA,2
TESSIO,DON CORLEONE,1
TESSIO,FANUCCI,1
TESSIO,HAGEN,1
TESSIO,MOM,1
TESSIO,VITO,2
THERESA,HAGEN,1
TOMASINO,DON FRANCESCO,1
TOMASINO,VITO,1
VENDOR,VITO,1
VITO,CARMELLA,1
VITO,CLEMENZA,3
VITO,HYMAN,1
VITO,ROBERTO,2
VITO,SIGNORA COLOMBO,1
WAITER,FREDO,1
WIDOW,DON FRANCESCO,1
